panoID,filename,elevation,sun_x,confidence
1186_t2RdO_qNonJLYl473mnHxA_37.25429984_-6.95184615,/home/alex/Desktop/school/comp-vis/dataset/datasets--everettshen--StreetView360AtoZ/snapshots/f0b9ffb20c4dc68d4422db97b7da7b577970650e/data/1186_t2RdO_qNonJLYl473mnHxA_37.25429984_-6.95184615.jpg,47.158,432.67,0.045914
1758_kqjoH4R6fFmGwOp5kphW4g_43.16465528_-77.64498275,/home/alex/Desktop/school/comp-vis/dataset/datasets--everettshen--StreetView360AtoZ/snapshots/f0b9ffb20c4dc68d4422db97b7da7b577970650e/data/1758_kqjoH4R6fFmGwOp5kphW4g_43.16465528_-77.64498275.jpg,28.3863,222.84,0.078735
1975_0KJ-NIQvvZH_wDW5BU1PZA_36.18746118_-5.92371097,/home/alex/Desktop/school/comp-vis/dataset/datasets--everettshen--StreetView360AtoZ/snapshots/f0b9ffb20c4dc68d4422db97b7da7b577970650e/data/1975_0KJ-NIQvvZH_wDW5BU1PZA_36.18746118_-5.92371097.jpg,25.3594,370.33,0.041351
2398_9SAOKmxCqyVFpGdbJcK_xw_42.98117664_-97.49665100,/home/alex/Desktop/school/comp-vis/dataset/datasets--everettshen--StreetView360AtoZ/snapshots/f0b9ffb20c4dc68d4422db97b7da7b577970650e/data/2398_9SAOKmxCqyVFpGdbJcK_xw_42.98117664_-97.49665100.jpg,30.2062,59.57,0.061829
2283_sC1VeEqlqmgnDIVMmJSOdg_51.42440379_-2.22399534,/home/alex/Desktop/school/comp-vis/dataset/datasets--everettshen--StreetView360AtoZ/snapshots/f0b9ffb20c4dc68d4422db97b7da7b577970650e/data/2283_sC1VeEqlqmgnDIVMmJSOdg_51.42440379_-2.22399534.jpg,55.5008,417.04,0.01796
916_7aV87qu5slzd8bHLZaG-MQ_13.24679046_102.82129851,/home/alex/Desktop/school/comp-vis/dataset/datasets--everettshen--StreetView360AtoZ/snapshots/f0b9ffb20c4dc68d4422db97b7da7b577970650e/data/916_7aV87qu5slzd8bHLZaG-MQ_13.24679046_102.82129851.jpg,62.7337,107.2,0.1315
2044_VJ1OPuUi5p574-10xKnFHg_-8.27983048_120.44813259,/home/alex/Desktop/school/comp-vis/dataset/datasets--everettshen--StreetView360AtoZ/snapshots/f0b9ffb20c4dc68d4422db97b7da7b577970650e/data/2044_VJ1OPuUi5p574-10xKnFHg_-8.27983048_120.44813259.jpg,27.8231,391.55,0.013687
870_84VnW_XOjKwyj-ophbMCeA_70.62930388_21.98124901,/home/alex/Desktop/school/comp-vis/dataset/datasets--everettshen--StreetView360AtoZ/snapshots/f0b9ffb20c4dc68d4422db97b7da7b577970650e/data/870_84VnW_XOjKwyj-ophbMCeA_70.62930388_21.98124901.jpg,40.5098,416.76,0.0354
3327_65sEzh1IivPexNEu06RTsw_40.07950763_21.18178980,/home/alex/Desktop/school/comp-vis/dataset/datasets--everettshen--StreetView360AtoZ/snapshots/f0b9ffb20c4dc68d4422db97b7da7b577970650e/data/3327_65sEzh1IivPexNEu06RTsw_40.07950763_21.18178980.jpg,23.464,500.02,0.010376
400_bDFEm4sRn1Frzq2wM9HyhQ_40.59801138_-124.15729480,/home/alex/Desktop/school/comp-vis/dataset/datasets--everettshen--StreetView360AtoZ/snapshots/f0b9ffb20c4dc68d4422db97b7da7b577970650e/data/400_bDFEm4sRn1Frzq2wM9HyhQ_40.59801138_-124.15729480.jpg,41.7873,180.77,0.029922
